,0
2128,"​​Сегодня был в сельской школе Черниговской области, которую впервые подключили к оптике благодаря Интернет-субвенции. 

Чтоб вы понимали, раньше вся громада — школы, больницы, пожарная часть, сельсовет — работали только на мобильном интернете, который был медленным и с постоянными перебоями. Теперь по субвенции мы подключили 11 сел в громаде Макеевка к высокоскоростному фиксированному интернету.

Но возвращаюсь к истории со школой и эффективности использования бюджетных средств. Два года назад 2 школы из этой громады подключили к мобильному интернету. То есть на крыше поставили маленькую антенну и несколько роутеров в школе. Кое-как она работала. Для этого провели тендер и заплатили 200 тыс. гривен. 

Сейчас за меньшую сумму — 185 тыс. — к скоростному оптическому интернету подключено 7 сел и 17 соцобъектов. 

Среди них и эта школа."
2129,"Каждый украинец должен иметь доступ к интернету. Покрыть 95% транспортной инфраструктуры и населенных пунктов высокоскоростным интернетом — это одна из фундаментальных целей нашей команды. 

У меня появился доступ к качественному домашнему интернету, когда я был или в 7 или в 8 классе. И тогда из маленького городка я получил доступ к информации со всего мира. Все это сильно изменило меня. 

С таким доступным, как сегодня, онлайн-образованием, возможностью смотреть полезные интервью, слушать подкасты — можно стать тем, кем вы хотите. Если системно действовать, конечно 😉

Сегодня еду в Черниговскую область, чтобы посмотреть, как меняется жизнь людей с получением доступа к высокоскоростному интернету. К тому, что жителям больших городов уже кажется обыденной вещью. Напомню, что сейчас в активной стадии реализации проект, инициированный Минцифрой, задача которого — профинансировать подключение интернета в небольших населенных пунктах. 

В рамках проекта только в этому году возможность подключиться к фиксированному, доступному интернету получат: 
— более 1 млн украинцев, которые проживают в 3 тысячах небольших населенных пунктов;
— более 6 тысяч объектов социальной инфраструктуры (школы, больницы, пожарные, ЦНАПы). 

Это проект каждого из вас, так как делается за бюджетные деньги, за деньги налогоплательщиков. 

Посмотрите на процесс подключения!"
2130,
2131,
2132,
2133,
2134,
2135,
2136,
2137,
2138,
2139,
2140,"Ближайшие планы по развитию ковид-сертификатов: 

— максимальное упрощение процесса подписания согласия при запросе ковид-сертификатов (технология фото ID) в мобильном приложении и на портале. Мы долго над этим работали; 
— запуск бета-тестирования ковидных сертификатов для ПЛР-тестов (подключена первая лаборатория к медицинской информационной системе), 2-4 дня; 
— запуск бета-тестирования сертификатов для тех, кто переболел. В прошлом и данном пункте очень многое будет зависеть от скорости интеграций лабораторий с системой, качества данных лабораторий, 2-4 дня;
— возможность сгенерировать PDF-сертификат из электронного в приложении (на портале уже можно);
— продолжаем анализировать и исправлять алгоритм внесения данных врачами, чтобы меньше было человеческого фактора при заполнении карточки пациента во время процесса вакцинации (часто врачи вводят неправильный номер вакцины, или количество доз)."
2141,​​Прототип уже подъехал 😎
2142,"Тут одни умельцы для Android сделали фейковую копию приложения с документами в дизайн стиле Дии, которая устанавливается по ссылке, не с Google Play (формат apk). Цель — создавать подделки ковидных сертификатов, фейковые паспорта для покупки алкоголя несовершеннолетним. Конечно же документы не валидируются через QR. И, для тех, кто покупает подобные «сервисы», будьте осторожны, можно попасть под статью «подделка документов». 

Поставил задачу команде разработать новый электронный документ «паспорт заключённого», организаторам данного мошенничества приготовиться стать  первыми бета-тестировщиками 😉"
2143,"Сел только что в Uber. Водитель:
— Маску одевать? 
— А как у вас с вакцинацией… — попытался деликатно я намекнуть на свою позицию. 
— Яяя? — усмехнулся он и надел маску. 
Всеми своими эмоциями и жестами продемонстрировав свою антивакцинаторскую позицию. 

И он же возит десятки людей в день. Разного возраста. Один из таких противников вакцины и масок может легко оказаться «киллером» для другого человека."
2144,"💥 Перешагнули 8 млн пользователей Дія! Ежедневно Дія используют более 1 млн уникальных человек, в неделю более 4 млн."
2145,​​Или вот так….
2146,"​​Второй день в Париже. Много встреч. 
Служба статистики Франции, депутаты, сенаторы, представители медиа, кибер-компаний. Выступил на уже исторической выставке/конференции по безопастности Milipol Paris. Рассказал про цифровую трансформацию в Украине. 

Прошёлся по выставке, смотрите, так выглядят современные системы для прослушки. Их используют правоохранительные органы, разведывательные, контрразведывательные."
2147,"40 тысяч украинцев, которые проживают в 118 селах, впервые в жизни могут подключиться к скоростному интернету благодаря “Интернет-субвенции”. 

170 провайдеров уже активно проводят сеть в школы, детские сады, библиотеки, ЦНАПы и больницы. Кстати, 250 соцучреждений уже получили скоростной интернет и базовую локальную сеть, в том числе качественное Wi-Fi-покрытие.

Смотрите видео, как наша команда проверяет стройку оптических сетей и подключение сел. В поездке наша команда пообщалась с операторами и уже получила фидбэк — процесс полностью для них понятен и нет никаких ограничений в закупках, даже для самых маленьких операторов. 

Все данные по каждому этапу проекта визуализированы и обновляются в режиме реального времени на дашбордах. Мы контролируем, чтобы процессы были прозрачными, открытыми и без коррупции. Отслеживаем, когда требования к операторам в тендерах прописывают под ""конкретных"" интернет-провайдеров, и перезапускаем их.

Равный доступ к интернету — равные возможности для всех. И для тех, кто живет в Киеве, и для тех, кто живет в дальнем селе Черниговской области. Ведь круто же: мы находимся в разных частях страны, но вместе радуемся очередному голу Ярмоленко за сборную Украины."
2148,"Встретились недавно с DOU, чтобы обсудить вопросы, которые волнуют все IT-сообщество. 

Рассказал в подкасте про свой бекграунд в бизнесе, команду Минцифры и важность целостного видения в реформе любой сферы.

Смотрите видео, комментируйте.

Сори за севший голос 😕"
2149,"700 миллиардов гривен — именно столько ежегодно тратится на социальную сферу. Но далеко не всегда эти деньги идут по назначению. 

Почему? Данные по соцвыплатам не централизованы и хранятся кое-как. Кто в табличке Excel, кто в тетради, а кто вообще у себя в голове. Они легко теряются, а это создает большие коррупционные риски.

Именно поэтому вместе с Минсоцполитики мы запустили Единую информационную систему социальной сферы — первый и важнейший шаг в цифровизации этого направления. Сейчас система работает в нескольких областях. На всю страну запустим в следующем году.

ЕИССС соберет все данные в одном месте. Это поможет людям получать услуги без очередей и ксерокопий. А государству — формировать социальную политику, отслеживать коррупцию и экономить до 11 миллиардов гривен ежегодно. 

На Дія Саммите презентуем социальные услуги, которыми можно будет воспользоваться в несколько кликов. Это заявления на получение субсидии, услуги для ВПО и заявление на назначение пенсии."
2150,"На выходных ходили семьей в кинотеатр. Смотрели мультик «Что не так с Роном». 

Во-первых, это было наше первое посещение мультфильма, которое наша 4-х летняя дочь досмотрела до конца 😁 Ещё и 2 часа! 

Во-вторых, эта работа явно создана, в первую очередь, для взрослых. 

Мультик о том, как технологии влияют на нашу жизнь, жизнь наших детей. Про то, что никакие социальные сети и искусственный интеллект не могут заменить настоящего живого общения, энергии других людей. О том, что не важно какой у ребёнка смартфон, все одинаково несчастливы когда им не уделяют внимание и не слышат. 

Чужие жизни в Instagram могут мотивировать на достижения, а могут демотивировать, создавать чувство неполноценности. Использование социальных медиа и интернета в целом — важный скилл 21 века. 

Уверен, что этому нужно учить детей с первых классов. Мы и готовим обновлённую программу информатики/цифровой грамотности для нашей системы образования."
2151,"​​Коротко о результатах недели. 

— Налоговый законопроект Дія Сity рекомендовано принять Парламенту. Это будет одна из лучших налоговых систем в мире для развития IT и креативных индустрий. Ждем успешного второго чтения в Верховной Раде.

— Уже 2 миллиона украинцев получили свои COVID-сертификаты в Дії. Напомню, что теперь вы можете не только сгенерировать документ в приложении, но и на портале с возможностью распечатать его. 

— Больше 80 тысяч украинцев в сентябре впервые получили 4G. Всего с 2020 года улучшенный 4G или нового оператора получили 8,4 млн украинцев в 10 тысячах городах и селах. Вместе с операторами продолжаем делать интернет доступным каждому. 

— Онлайн-платформой Дія.Бізнес уже воспользовались 1,2 млн украинцев. А 5 тысяч предпринимателей получили бесплатные консультации. Это наш результат за полтора года работы. До конца года откроем офлайн-центры еще в 4 городах — следите за анонсами."
2152,"Более миллиона электронных больничных. Именно столько документов оформили врачи спустя две недели после запуска услуги по всей стране. 

Сейчас услуга особенно актуальна. Вместе с пандемией коронавируса начинаются и сезонные болезни. Очень важно разгрузить врачей, упростить получение страховых выплат и сократить контакты между людьми.

Этот результат — подтверждение, насколько украинцы хотели получить услугу в этом формате.

Электронные больничные пытались внедрить 10 лет. И наконец мы сделали этот важнейший шаг к началу режима paperless в медицине."
2153,"🔥Налоговый законопроект про Дія Сity рекомендовано принять Парламенту во втором чтении и в целом. 

Это будет одна из лучших налоговых систем в мире для развития IT и креативных индустрий. Благодарен Данилу Гетманцеву, Комитету и всем депутатам за поддержку законопроекта.

Сейчас налоговый законопроект предусматривает:
• Для компаний, которые платят ПНВК, переходный период по ограничению на работу с ФОП будет таким: до 2024 никаких ограничений не предусмотрено.  С 2024 расходы на плательщиков единого налога не должны превышать 50%, а с 2025 — 20%.
• Уровень налоговой нагрузки на компании-резиденты остался неизменным: НДФЛ — 5%, ЕСВ — 22% от минимальной зарплаты, военный сбор — 1,5%; возможность выбора корпоративного налога — ПНВК (9%) или налог на прибыль (18%).
• Компании получат 0% налог на доход физлиц в качестве дивидендов, начисленных компанией-резидентом при условии их выплаты не чаще 1 раза в 2 года; налоговая скидка (по НДФЛ) на сумму инвестиций в украинские стартапы.
• Резиденты Дія City, которые останутся на модели уплаты налога на прибыль на общих основаниях, и у которых годовой лимит дохода составляет до 40 млн грн, смогут работать с ФОП без ограничений на все время действия спецрежима.

К тому же, льготное налогообложение на зарплаты специалистов не будет ограничиваться по единому КВЭД и будет распространяться на всех работников компании. Условия Дія City будут зафиксированы на 25 лет и будут предусматривать налоговые ставки, которые являются одними из самых низких в Европе. 

Уверен, что Дія City станет тем двигателем, который поможет Украине занять достойное место среди мировых лидеров цифровой экономики. Ждем успешного второго чтения в Верховной Раде."
2154,"​​​​Apple завезла первую официальную партию своей продукции в Украину! 

9 октября в аэропорт «Борисполь» прибыла первая партия официальной продукции Apple. Это больше 8 тысяч смартфонов линейки iPhone 13, заявленная стоимость более $7,5 млн! 

Еще один цивилизованный шаг для развития Украины!"
2155,"Выступил на Киевском международном экономическом форуме. Говорили о глобальных экономических трендах. Уверен, что будущее — за технологиями и цифровой экономикой. Над этим мы и работаем. Итоги недели — в дайджесте."
2156,"А теперь серьезно. 

⚡️87% родителей в Украине пользуются єМалятко.

Только в сентябре 18 тысяч родителей зарегистрировали своих детей с помощью комплексной услуги в Дії.

Прекрасный пример того, как государство должно помогать, а не ставить подножку. Эти семьи решили все вопросы одной заявкой, а не многочасовыми квестами по лабиринту из кабинетов. Теперь они уж точно не пропустят первые месяцы жизни малыша."
2157,"​​О том, как Дия становится частью нашей жизни 😎"
2158,"Представьте ситуацию: вы не можете поймать интернет на даче. Ходите по двору, залезаете на чердак, потом на березу — и только тогда появляется связь. 

Почему так происходит? Больше десяти лет назад в Украине появился документ со стандартами для мобильной связи, но без каких-либо цифр и требований. Это развязывало операторам руки. В больших городах услуги предоставляли хорошо. В селах — как получится.

То есть в больших городах вы могли посмотреть видео на YouTube, а в гостях у бабушки — только представить его перед сном.

На этой неделе мы наконец-то смогли установить минимальные технические показатели. Теперь операторы будут их соблюдать. Это большая победа. Покрытие интернетом станет надежней, а качество услуг улучшится. Ситуаций, когда интернет в центре города летит, а на окраине почти не тянет, будет становится существенно меньше."
2159,"Теперь ""желтые"" внутренние COVID-сертификаты доступны и на Android.

Сгенерировать его можно в тот же день, как получили первую дозу вакцины. Действует 120 дней. 

Обновляйте Дію и пользуйтесь. Как сгенерировать ""желтый"" сертификат в несколько кликов — смотрите в видеоинструкции → https://bit.ly/3aaE7IP."
2160,10 лет со смерти Стива Джобса. Apple обновили дизайн главной страницы сайта и выложили ролик в память о Стиве. Получилось трогательно.
2161,"Ну и напоследок, пока у всех освободилось  немного времени, порекомендую две последние прочтённые книги, которые могу смело советовать. 

«Страна стартапов», Ден Сенор. О том, почему Израилю удалось построить страну с самой большой плотностью стартапов, которые вышли на публичные биржи (по отношению к количеству населения). Полезно для предпринимателей, менеджеров, для все тех, кто создаёт, тем или иным образом, условия для развития бизнеса в нашей стране. 

«Новая космическая гонка: Как Илон Маск, Джефф Безос и Ричард Брэнсон соревнуются за первенство в космосе
Книга, Тим Фернхольц». Книга позволяет понять, что происходит в теме космоса сегодня. Краткая история, актуальные вызовы, много интересной информации из профессиональной жизни Маска, Брэнсона, Безоса. 

Доброй ночи!"
2162,Ещё часик и придётся в Дии делать ленту новостей и сторис 😉
2163,"Как человек, который имеет отношение к созданию продуктов, которыми пользуется много людей, боюсь представить, что сейчас испытывает команда Facebook, когда лежат сразу их 3 продукта: Facebook, Instagram, WhatsApp ("
2164,"Цифровізація медичної сфери, 7 мільйонів користувачів у Дії та чудові новини від Netflix. А також про те, що саме Україна вперше представить на Web Summit у Лісабоні, — дивіться в нашому щотижневому дайджесті!"
2165,"​​​​Как я горжусь своей любимой женой. 
Я уже рассказывал, что она с двумя красными дипломами, филологии и бизнес-администрирования, преподавала бизнес-английский в крутых IT-компаниях. Это было до нашего переезда в Киев из Запорожья. 

3 года назад она рискнула и начала заниматься тем, что она по-настоящему любит — создавать одежду, которая не просто потрясающего качества и дизайна, а и несёт в себе определённые ценности. Мы называем это — «интеллектуальная женственность». Уверен, что на странице Насти и ее бренда вы найдёте ее объяснение и видение концепции Cover. 

Но сегодня я хотел поделиться последней  коллекцией, которая показывает системный рост Насти как дизайнера, менеджера. Кстати, одежда представлена не только онлайн, но и среди коллекций украинских дизайнеров в ЦУМ в центре Киева, в one:one во Львове. 

Я очень горжусь! Я всегда с уважением отношусь к людям, которые умеют создавать ценность. Но когда это ещё твоя жена — это счастье ❤️

Все фото из коллекции в моем Instagram."
2166,"⚡️⚡️⚡️Netflix локалізовано в Україні! Фантастична новина перед вихідними.

А ми отримали листа від Netflix з тим, що на платформі вже є український інтерфейс. Також компанія офіційно запустила домен netflix.ua та українськомовну сторінку у Facebook та Instagram.

Обіцяють ще більше дубляжу та субтитрів українською. Заради таких змін і працюємо."
2167,"​​Сегодня Украина полностью переходит на электронные больничные! Это очень важный шаг к режиму paperless в медицине.
 
Е-больничные — одна из самых популярных услуг в Украине. Реформировать ее пытались почти 10 лет. В год выдают около 5,5 миллионов больничных, сумма выплат составляет 18 миллиардов гривен из бюджета страны. Общими усилиями мы упростили услугу для пациентов, врачей, государства и сэкономим государству 4 миллиарда гривен.
 
В июне по всей стране начался переходный этап. За это время почти все больницы — а это около 3 тысяч — подключились к медицинской системе, которая позволяет работать с е-больничными. За эти 4 месяца врачи сформировали почти миллион таких документов. 138 тысяч врачей прошли онлайн-обучение и могут самостоятельно оформлять электронные больничные.
 
Работает это так. После обследования пациента врач формирует медицинское заключение. Он создает его в Реестре и заверяет электронной подписью. Пациент получает смс.
 
Дальше документ попадает в Реестр Пенсионного фонда. Там формируется электронный листок нетрудоспособности — документ, по которому начисляются выплаты. Пациент получает вторую смс. А работодатель видит ваш документ на портале ПФУ. Все быстро и максимально автоматически.
 
Сохраняем ваше время, силы и нервы. Ведь это так важно, особенно когда человек болеет."
2168,"Вы меня спрашивали, можно ли сгенерировать COVID-сертификат в Дії, если привиты разными вакцинами от ковида. Теперь можно.
 
Услуга доступна и в мобильном приложении, и на портале Дія. Если у вас:
• Первая доза — AstraZeneca, CoviShield, Moderna или Comirnaty/Pfizer-BioNTech. 
• Вторая — Moderna или Comirnaty/Pfizer-BioNTech.
 
Как сформировать COVID-сертификат:
• В мобильном приложении Дія нажмите «Услуги», выберите пункт «COVID-сертификаты» и «Получить сертификат». 
• На портале Дія с помощью электронной подписи сформируйте документ. Он сохранится в формате PDF."
2169,"Украина впервые официально будет представлена на одной из крупнейших IT-конференций — Web Summit в Лиссабоне!

Круто, что в этом году мы получили возможность презентовать свои победы и видение развития технологического мира. Мы теперь здесь не просто зрители, но и активные участники. 

Украинское IT развивается невероятными темпами. У нас 220 тыс. людей работают в этой сфере и с каждым месяцем потребность в новых специалистах только растет.

За последние два года мы с партнерами инициировали много крутых проектов. Чего только стоит наше сотрудничество с IT-индустрией над проектом Дія City. Он запустится с нового года и создаст одну из лучших налоговых систем для IT-сектора.

На Web Summit обсуждают тренды и то, что будет происходить в технологическом мире. Нам также есть что предложить другим странам: цифровые услуги, инновационные проекты и развитый IT-сектор. Мы запускаем Дія City, е-Резидентство, рынок виртуальных активов, что поможет Украине стать мощным IT-хабом в Восточной Европе."
2170,"Только что выступил на закрытом ивенте для наших СДТО (замы по цифровой трансформации в министерствах и других органах власти). Мы создали такую орг структуру в Украине с нуля. Более 70 человек в зале. 

Рассказал о своих ожиданиях и ближайших планах. 

Данная структура — возможность затянуть в гос управление молодых, энергичных менеджеров на топ-должности. 

Как же здорово, когда план на бумаге трансформируется в реальную жизнь."
2171,"7 млн украинцев активно используют приложение Дія! 

+ 1 млн пользователей чуть больше, чем за 1 месяц! Фантастический темп роста. 

24/7 наша команда работает над новыми услугами и стабилизацией тех, которые запустили. 

Параллельно с модернизацией государственных реестров, которые находятся в управлении других министерств, мы нашли возможности для расширения контакт-центра, чтобы создать быстрый и качественный сервис. 

Мы готовим пул новых услуг, которые вы точно ждали, а некоторые даже вас приятно удивят.
 
И да, мы анонсируем Diia Summit — осень 2021.
Открываем предрегистрацию на онлайн-трансляцию саммита.

Спасибо за поддержку и конструктивную критику. Разрушать государственного монстра изнутри — то ещё испытание."
2172,"COVID-cертификат теперь можно получить на портале Дія! 

После генерации он сохраняется в файле PDF. Документ можно распечатать или загрузить себе на устройство.

Для генерации сертификата на портале понадобится только ваша электронная подпись. Все очень просто и в несколько кликов.

Уже миллион украинцев пользуются ""зеленым” сертификатом в приложении Дія. А сегодня в iOS стал доступен “желтый” внутренний COVID-cертификат для людей с одной дозой вакцины.

Такой сертификат действует 120 дней. Делаем все, чтобы во время карантинных ограничений украинцы могли жить, как и обычно, а бизнес работал. В ""желтой"" зоне будут действовать оба вида сертификатов, а в ""красной"" — только ""зеленый""."
2173,"⚡️Пенсии, субсидии и соцпомощь на портале Дія. 
 
Кабмин принял Постанову, которая позволит в онлайне оформить:
• жилищную субсидию
• социальную помощь от государства
• пенсию
• а также обратиться за соцуслугами.
 
Вместе с Минсоцполитики расширяем пилотный проект по внедрению Единой информационной системы социальной сферы в отдельных областях. Какие именно это будут области, напишем позже.
 
Не нужно будет собирать кучу документов и ходить в разные учреждения. Достаточно подать заявление на оформление на портале Дія. А это значительно упростит жизнь многим украинцам."
2174,"Запускаем в украинском Facebook — AMBER Alert. Инструмент оперативных оповещений о пропавших в определенной местности детях. 
 
AMBER Alert покажет вам в ленте фотографию пропавшего ребенка и информацию куда обращаться, если его увидите. 

Наша цель — чтобы люди, которые могут помочь, получили эти уведомления. Знаем, что шансы найти пропавшего ребенка растут, когда больше людей ищут его. Особенно в первые 24 часа."
2175,"На Сергея Шефира, первого помощника Президента, было совершено покушение. Он в порядке, водитель, к сожалению, ранен. 
 
По информации от СБУ, уже было больше 20 угроз жизни самому Владимиру Зеленскому. 
 
Подобное насилие — это реакция  на системную работу Президента и команды против тех, кто зарабатывал из бюджета Украины десятки лет. Эти бандиты не привыкли, что с ними не считаются, не садятся за стол переговоров. Тогда они достают своих ручных политиков и атакуют в медиа, пытаясь остановить изменения, а когда это не работает — достаются и автоматы. 
 
Удивляет реакция якобы с европейскими ценностями оппозиционеров в социальных сетях. Даже подобные ситуации они умудряются перекрутить, работая четко по темникам, в своих политических интересах, занимаясь Фейсбук-киллерством. 
 
Уверен, что данная ситуация еще больше консолидирует команду. Нужно пережить этот этап сопротивления, сломать его — и скорость развития будет в геометрической прогрессии."
2176,"Теперь на Android можно делать скриншоты в Дії. 

То есть теперь нет ограничений ни в IOS, ни в Android. 

Делитесь победами цифровой Украины, только не забывайте заблюривать персональные данные 😎"
2177,Открыли два новых центра Дія Бізнес — в Ужгороде и Полтаве. А еще запустили курс по предпринимательству в 85 университетах. Итоги недели в дайджесте.
2178,
2179,
2180,
2181,
2182,
2183,
2184,"Будущее за предпринимателями и инноваторами. Развиваем бизнес- экосистему по всей Украине. На этой неделе открыли два центра для предпринимателей — в Полтаве и Ужгороде. 
 
Центры Дія.Бізнес — это площадки с бесплатными консультациями по финансовому менеджменту, HR, маркетингу, продажам и юридической поддержке. В них не только можно получить консультации и советы по бизнесу, они готовят к будущему. Выбирайте нужную тему, слушайте лекции, записывайтесь на консультации, развивайте себя и собственное дело. 
 
Чем еще полезен центр для предпринимателей? В центре можно:
• проходить обучение офлайн или в смешанном формате;
• использовать пространство для проведения собственных событий;
• тестировать свой продукт на pop-up-локации, чтобы узнать, как на рынке его примут реальные клиенты."
2185,"Нам удалось сохранить более 3 млрд гривен на IT-закупках. И это только за первые полгода 2021. Как это получилось? 
 
В наследство от агентства электронного управления нам досталась функция согласования IT-закупок с местными органами власти. Согласовываем все — от создания сложных IT-систем, реестров и серверов — до простых закупок техники и даже ее ремонта. 
 
За первые полгода 2021 нам представили 1080 проектов информатизации. Из них 50 мы не утвердили из-за несоответствия. Это завышенные цены на технику, неподходящее и ненужное ПО.
 
Сохраняем средства государства, а следовательно, и средства украинцев."
2186,"И последняя новость на сегодня!) 

Кабмин принял постановление, которое упростит получение водительских прав при замене на новые. Их можно будет заказать на отделение Укрпочты или курьером. 

Это шаг к стране как сервису — когда не нужно никуда ходить, а документы приедут к тебе.

Во время пандемии такая услуга очень актуальна. Вместо того, чтобы идти в сервисный центр МВД, можно заказать права через Дію и получить их в ближайшем отделении, когда вам будет удобно. Быстро и главное — безопасно.

Так уже работает єМалятко. Уже 2 тысячи родителей получили свидетельство о рождении с помощью Укрпочты и это количество с каждым днем растет. Уверен, что с водительскими будет та же история."
